27.9,3731
27.9,3731
26.49,4118
26.49,4118
24.93,5082
15.89,3056
16.71,4985
23.2,4046
17.9,2980
21.92,4600
21.95,5786
19.8,5147
21.92,4901
21.92,4901
28.67,4589
22.4,4126
20.93,3616
31.29,5146
24.65,5172
16.07,3769
18.71,5063
25.48,3527
18.87,3512
31.62,4192
16.18,4352
21.34,2043
21.84,3575
15.97,5548
15.26,2045
27.12,3181
22.44,3610
24.47,3969
27.81,3048
18.37,5221
18.37,5221
23.02,3880
23.02,3880
18.23,4755
22.02,3105
22.02,3105
22.5,4749
18.34,5390
15.69,5299
21.69,3661
15.22,4084
18.79,5188
28.6,3260
31.96,4115
21.19,2190
27.0,3571
20.95,1729
17.55,3755
24.78,4793
23.73,5552
17.4,4117
16.17,2860
19.75,2794
22.86,3671
17.6,5390
21.95,3337
27.1,4795
26.28,5220
15.57,1657
17.93,3976
17.53,3605
19.37,3954
16.3,3337
16.3,3337
24.09,4630
17.63,3848
19.63,5866
18.61,4919
18.04,4984
29.01,3759
35.22,3572
19.05,2412
28.61,3589
28.61,3589
17.86,3602
22.69,5566
24.27,3510
25.06,4308
16.38,5884
25.26,3484
29.91,4364
19.33,4193
19.33,4193
19.14,4957
19.18,5014
17.83,4740
22.19,3483
20.02,3549
19.96,3892
18.17,4358
21.6,5311
22.74,2870
24.78,4824
24.42,4386
21.38,5155
17.78,5241
17.44,6176
19.1,4190
17.9,3834
21.79,3539
17.22,4481
15.12,5476
17.77,6196
22.68,6031
15.19,5458
27.92,4370
21.39,3682
15.25,1577
15.25,1577
23.54,3852
16.49,1961
30.71,4195
20.71,3346
15.83,1736
16.19,2131
19.95,2967
26.79,3504
15.78,2778
20.64,3406
20.1,2854
27.48,4789
22.18,4268
15.63,2938
26.63,3918
20.64,4513
18.36,5223
20.92,5334
20.92,5334
21.58,4437
29.28,3565
17.25,626
17.25,626
18.51,3855
25.65,3338
16.62,4985
22.42,4444
21.48,5651
